"id","age_ratings__id","age_ratings__rating","genres__id","genres__slug","genres","name","platforms__id","platforms__name","release_dates__id","release_dates__human","release_dates","aggregated_rating"
"30132","","","12","role-playing-rpg","","Wizards and Warlords","3","Linux","271629","Sep 25, 2020","",""
"","","","15","strategy","","","6","PC (Microsoft Windows)","271630","Sep 25, 2020","",""
"","","","32","indie","","","14","Mac","271631","Sep 25, 2020","",""
"","","","","","","","","","289716","Sep 25, 2020","",""
"","","","","","","","","","289717","Sep 25, 2020","",""
"","","","","","","","","","289718","Sep 25, 2020","",""
"176242","","","","","","This hole in my chest","","","","","",""
"85137","","","","","","Family Trainer: Extreme Challenge","5","Wii","139330","Sep 25, 2009","",""
"94975","","","","","","Wubble Bubbles","","","","","",""
"192652","","","12","role-playing-rpg","","Out of Orbit","","","","","",""
"","","","13","simulator","","","","","","","",""
"","","","31","adventure","","","","","","","",""
"","","","32","indie","","","","","","","",""
"200398","","","14","sport","","Fishing Champion","411","Handheld Electronic LCD","389506","1997","",""
"130742","","","","","","Flashy Maze","","","","","",""
"211577","","","12","role-playing-rpg","","Woe","","","","","",""
"","","","32","indie","","","","","","","",""
"94831","","","","","","Lines","","","","","",""
"101840","","","","","","Aisleen","","","","","",""
"116466","46510","11","5","shooter","","Sniper Elite VR","6","PC (Microsoft Windows)","289706","Jul 08, 2021","","73.25"
"","","","31","adventure","","","163","SteamVR","289708","Jul 08, 2021","",""
"","","","","","","","165","PlayStation VR","297548","Jul 08, 2021","",""
"","","","","","","","384","Oculus Quest","311710","Jul 08, 2021","",""
"","","","","","","","386","Meta Quest 2","316467","Jul 08, 2021","",""
"146778","41447","8","4","fighting","","Little Squire's Quests","130","Nintendo Switch","251163","Jan 19, 2021","",""
"","54393","1","9","puzzle","","","","","340665","Jan 18, 2021","",""
"","","","31","adventure","","","","","","","",""
"","","","33","arcade","","","","","","","",""
"101761","","","","","","BackDoor- Door 1","","","","","",""
"268167","","","13","simulator","","Train Simulator: Zhengxi Highspeed: Zhengzhou - Sanmenxia Route","","","","","",""
"102637","","","","","","Word Champion!","","","","","",""
"230918","","","14","sport","","King's Hand: Seasonal Winter Pack","","","","","",""
"","","","15","strategy","","","","","","","",""
"95081","","","","","","Soccer Rally Arena","","","","","",""
"130745","","","","","","TS Online Mobile","","","","","",""
"125970","","","","","","Tie Break Tennis","","","","","",""
"171563","","","31","adventure","","Space Fox Kimi: The Battle of Mochi Prime","","","","","",""
"","","","32","indie","","","","","","","",""
"196161","","","9","puzzle","","LiMiT's Escape Room Games","6","PC (Microsoft Windows)","351601","Apr 17, 2022","",""
"","","","15","strategy","","","","","","","",""
"","","","26","quiz-trivia","","","","","","","",""
"","","","31","adventure","","","","","","","",""
"","","","32","indie","","","","","","","",""
"230919","","","14","sport","","King's Hand: Exotic Purgatory Pack","","","","","",""
"","","","15","strategy","","","","","","","",""
"5867","4687","4","12","role-playing-rpg","","Jade Empire","6","PC (Microsoft Windows)","14366","Apr 12, 2005","","82.5"
"","48710","11","31","adventure","","","11","Xbox","14367","Apr 12, 2005","",""
"","94806","25","","","","","12","Xbox 360","","","",""
"","102011","16","","","","","14","Mac","","","",""
"","109323","37","","","","","","","","","",""
"108528","","","15","strategy","","Hexaverse","","","","","",""
"82461","84506","8","","","","10tons Adventure Puzzles Bundle","49","Xbox One","136603","Nov 25, 2016","",""
"96085","","","","","","Rocky Climb","","","","","",""
"24244","65727","10","","","","Memorick: The Apprentice Knight","","","","","","69.0"
"239411","127048","10","15","strategy","","Blood Bowl 3: Imperial Nobility Edition","49","Xbox One","455325","Feb 23, 2023","",""
"","127049","36","","","","","169","Xbox Series X|S","455326","Feb 23, 2023","",""
"","127050","20","","","","","","","","","",""
"","127052","31","","","","","","","","","",""
"","127547","4","","","","","","","","","",""
"","127548","25","","","","","","","","","",""
"268284","","","13","simulator","","Graviteam Tactics: Stalemate on Donets","","","","","",""
"","","","15","strategy","","","","","","","",""
"239016","135085","35","13","simulator","","Pinball FX: World War Z Pinball","49","Xbox One","470977","Feb 16, 2023","",""
"","135086","29","","","","","130","Nintendo Switch","470978","Feb 16, 2023","",""
"","135087","10","","","","","169","Xbox Series X|S","489266","Jul 06, 2023","",""
"","135088","25","","","","","","","","","",""
"","135091","1","","","","","","","","","",""
"","135093","20","","","","","","","","","",""
"118708","","","","","","The Crew 2: Digital Deluxe Edition","","","","","",""
"108614","","","","","","Leo Spanish Spelling Complete","","","","","",""
"12930","","","5","shooter","","Voyager","16","Amiga","124085","1989","",""
"","","","","","","","63","Atari ST/STE","124086","1989","",""
"130751","","","","","","Tower of Fortune","39","iOS","469771","Apr 30, 2012","",""
"130752","","","","","","Kuma no Pooh-San: 100 Acre no Mori no Cooking Book","","","","","",""
"147648","38954","8","8","platform","","Solar Blast","130","Nintendo Switch","249480","Jan 15, 2021","",""
"","53698","1","31","adventure","","","","","339516","Jan 15, 2021","",""
"","","","33","arcade","","","","","","","",""
"232243","","","10","racing","","Pixel Race: Endless Retro Racing","","","","","",""
"","","","14","sport","","","","","","","",""
"130753","","","8","platform","","Crazy Kong","373","Sinclair ZX81","479753","1983","",""
"","","","9","puzzle","","","","","","","",""
"","","","33","arcade","","","","","","","",""
"77810","71587","11","5","shooter","","Cuttin' Loose In Compton","","","","","",""
"35429","","","13","simulator","","The Lost Valley","6","PC (Microsoft Windows)","81578","Apr 20, 2015","",""
"","","","31","adventure","","","","","","","",""
"","","","32","indie","","","","","","","",""
"118128","","","12","role-playing-rpg","","Little Dungeon Stories","6","PC (Microsoft Windows)","188948","Dec 06, 2019","",""
"","","","15","strategy","","","","","","","",""
"","","","31","adventure","","","","","","","",""
"","","","32","indie","","","","","","","",""
"147142","39561","11","31","adventure","","Dungeon Nightmares 1+2 Collection","130","Nintendo Switch","341155","Jan 18, 2021","",""
"","54454","4","33","arcade","","","","","","","",""
"","98345","15","","","","","","","","","",""
"190243","","","15","strategy","","Magna Graecia","","","","","",""
"","","","32","indie","","","","","","","",""
"100487","","","","","","Catch It","","","","","",""
"92040","","","","","","Bingo","","","","","",""
"104739","","","","","","Word Nut: Word Games & Puzzles","","","","","",""
"209901","80913","10","","","","Hidden Secrets: The Nightmare","6","PC (Microsoft Windows)","373895","Nov 19, 2008","",""
"251576","140983","8","14","sport","","Walkabout Mini Golf: Journey to the Center of the Earth","163","SteamVR","480354","Jun 08, 2023","",""
"","","","32","indie","","","384","Oculus Quest","480355","Jun 08, 2023","",""
"","","","","","","","386","Meta Quest 2","480356","Jun 08, 2023","",""
"","","","","","","","390","PlayStation VR2","480357","Jun 08, 2023","",""
"89689","","","","","","A Knight's Move","","","","","",""
"25660","103353","4","15","strategy","","Total War: Warhammer - Blood For the Blood God","3","Linux","134883","Jun 30, 2016","",""
"","103354","25","","","","","6","PC (Microsoft Windows)","134885","Jun 30, 2016","",""
"","103355","10","","","","","14","Mac","134886","Jun 30, 2016","",""
"171309","","","32","indie","","Neon Arena","6","PC (Microsoft Windows)","312003","Sep 17, 2021","",""
"64556","35520","8","9","puzzle","","Nurikabe by Nikoli","37","Nintendo 3DS","141938","Oct 11, 2012","",""
"","","","15","strategy","","","","","","","",""
"91555","","","","","","Spike the Hedgehog","6","PC (Microsoft Windows)","232698","TBD","",""
"13666","","","15","strategy","","The Seven Years War (1756-1763)","6","PC (Microsoft Windows)","39176","Oct 30, 2015","",""
"","","","32","indie","","","","","","","",""
"197231","","","9","puzzle","","Rhom Bus","39","iOS","352857","Feb 22, 2017","",""
"266753","","","31","adventure","","Kiyo","","","","","",""
"","","","32","indie","","","","","","","",""
"106781","","","","","","Jump Ball Blast","","","","","",""
"137234","","","","","","Slip Slop","","","","","",""
"137242","","","","","","Premier Collection III","","","","","",""
"104304","","","","","","Wildland Animal Hunting","","","","","",""
"52641","69480","10","","","","One Epic Game","","","","","",""
"130725","","","","","","Caution! Platforming Ahead","","","","","",""
"92009","","","","","","Morph Chess 3D","","","","","",""
"97156","","","","","","UFO Hunter","","","","","",""
"210243","","","8","platform","","Crash Bandicoot","411","Handheld Electronic LCD","389603","Aug 1998","",""
"160532","","","32","indie","","Tiger Tank 59 I: A-Gun MP034","","","","","",""
"96545","","","11","real-time-strategy-rts","","Europa 1400: The Guild - Expansion Pack","6","PC (Microsoft Windows)","226313","Mar 20, 2003","",""
"","","","13","simulator","","","","","","","",""
"","","","15","strategy","","","","","","","",""
"88217","","","","","","Duck Bow Hunt","","","","","",""
"209902","80914","10","","","","Hidden Stroke: APRM","6","PC (Microsoft Windows)","373897","May 29, 2003","",""
"195243","","","32","indie","","Yummy Girl 2","6","PC (Microsoft Windows)","359369","Apr 08, 2022","",""
"192243","","","31","adventure","","Plumb","","","","","",""
"","","","32","indie","","","","","","","",""
"126369","","","31","adventure","","Nanoworld","6","PC (Microsoft Windows)","506824","Nov 15, 2019","",""
"","","","32","indie","","","","","","","",""
"104254","","","","","","Yo-kai Watch World","","","","","",""
"266751","","","","","","Machi Koro With Everyone","","","","","",""
"52235","","","","","","Hospital Hustle","5","Wii","","","",""
"137244","","","","","","Line Simulator 2020","","","","","",""
"101918","","","","","","Crayon Poke","","","","","",""
"211415","","","12","role-playing-rpg","","Aiyana","","","","","",""
"","","","31","adventure","","","","","","","",""
"","","","32","indie","","","","","","","",""
"91763","","","","","","What's Michael?","","","","","",""
"90359","","","","","","iLudo","","","","","",""
"102490","","","","","","DinoSaur Ice Survival Craft","","","","","",""
"137232","","","9","puzzle","","I Don't Want to Die","","","","","",""
"","","","32","indie","","","","","","","",""
"","","10","","","strategy","Blood Bowl 3: Black Orcs Edition","","Xbox One","","","2023","N/A"
"","","","","","","","","Xbox Series X|S","","","",""
"","","9","","","fighting","Shinobi Blade","","Nintendo Switch","","","2021","N/A"
"","","8","","","music","DDRMax2: Dance Dance Revolution","","PlayStation 2","","","2002","N/A"
"","","","","","","","","Arcade","","","",""
"","","9","","","N/A","Transformers Prime: The Game","","","","","N/A","N/A"
"95080","","","","","","Dotra","","","","","",""
"104748","","","","","","Space station - build your own ISS","","","","","",""
"89616","","","9","puzzle","","Bubble Whirl Shooter","34","Android","","","",""
"","","","33","arcade","","","39","iOS","","","",""
"91579","","","","","","Racing Live","","","","","",""
"263822","","","31","adventure","","All Alone","","","","","",""
"","","","32","indie","","","","","","","",""
"124961","","","","","","Railroad Tycoon 2: Platinum Edition","","","","","",""
"119025","","","13","simulator","","Pet Puzzle","6","PC (Microsoft Windows)","511087","Jun 08, 2019","",""
"71632","","","15","strategy","","Ganbare Goemon: Mononoke Sugoroku","","","","","",""
"160939","","","32","indie","","Tiger Tank 59 I: A-Gun MP095","","","","","",""
"130740","","","","","","Deathmatch Club","","","","","",""
"137195","57121","29","4","fighting","","River City Girls Zero","6","PC (Microsoft Windows)","345917","Feb 14, 2022","","65.0"
"","58326","3","25","hack-and-slash-beat-em-up","","","48","PlayStation 4","387770","Sep 13, 2022","",""
"","91135","9","31","adventure","","","49","Xbox One","387772","Sep 13, 2022","",""
"","93494","24","33","arcade","","","130","Nintendo Switch","387773","Sep 13, 2022","",""
"","110841","35","","","","","167","PlayStation 5","389364","Sep 13, 2022","",""
"","126135","20","","","","","169","Xbox Series X|S","406085","Sep 21, 2022","",""
"230654","","","","","","Hockey de Mesa","64","Sega Master System/Mark III","436853","Aug 2008","",""
"203546","","","31","adventure","","Meat & Greed","6","PC (Microsoft Windows)","375099","Jun 07, 2022","",""
"","","","32","indie","","","","","","","",""
"99620","","","31","adventure","","Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition","6","PC (Microsoft Windows)","407353","Apr 30, 2018","",""
"30132","","","12","role-playing-rpg","","Wizards and Warlords","3","Linux","271629","Sep 25, 2020","",""
"","","","15","strategy","","","6","PC (Microsoft Windows)","271630","Sep 25, 2020","",""
"","","","32","indie","","","14","Mac","271631","Sep 25, 2020","",""
"","","","","","","","","","289716","Sep 25, 2020","",""
"","","","","","","","","","289717","Sep 25, 2020","",""
"","","","","","","","","","289718","Sep 25, 2020","",""
"176242","","","","","","This hole in my chest","","","","","",""
"85137","","","","","","Family Trainer: Extreme Challenge","5","Wii","139330","Sep 25, 2009","",""
"94975","","","","","","Wubble Bubbles","","","","","",""
"192652","","","12","role-playing-rpg","","Out of Orbit","","","","","",""
"","","","13","simulator","","","","","","","",""
"","","","31","adventure","","","","","","","",""
"","","","32","indie","","","","","","","",""
"200398","","","14","sport","","Fishing Champion","411","Handheld Electronic LCD","389506","1997","",""
"130742","","","","","","Flashy Maze","","","","","",""
"211577","","","12","role-playing-rpg","","Woe","","","","","",""
"","","","32","indie","","","","","","","",""
"94831","","","","","","Lines","","","","","",""
"101840","","","","","","Aisleen","","","","","",""
"116466","46510","11","5","shooter","","Sniper Elite VR","6","PC (Microsoft Windows)","289706","Jul 08, 2021","","73.25"
"","","","31","adventure","","","163","SteamVR","289708","Jul 08, 2021","",""
"","","","","","","","165","PlayStation VR","297548","Jul 08, 2021","",""
"","","","","","","","384","Oculus Quest","311710","Jul 08, 2021","",""
"","","","","","","","386","Meta Quest 2","316467","Jul 08, 2021","",""
"146778","41447","8","4","fighting","","Little Squire's Quests","130","Nintendo Switch","251163","Jan 19, 2021","",""
"","54393","1","9","puzzle","","","","","340665","Jan 18, 2021","",""
"","","","31","adventure","","","","","","","",""
"","","","33","arcade","","","","","","","",""
"101761","","","","","","BackDoor- Door 1","","","","","",""
"268167","","","13","simulator","","Train Simulator: Zhengxi Highspeed: Zhengzhou - Sanmenxia Route","","","","","",""
"102637","","","","","","Word Champion!","","","","","",""
"230918","","","14","sport","","King's Hand: Seasonal Winter Pack","","","","","",""
"","","","15","strategy","","","","","","","",""
"95081","","","","","","Soccer Rally Arena","","","","","",""
"130745","","","","","","TS Online Mobile","","","","","",""
"125970","","","","","","Tie Break Tennis","","","","","",""
"171563","","","31","adventure","","Space Fox Kimi: The Battle of Mochi Prime","","","","","",""
"","","","32","indie","","","","","","","",""
"196161","","","9","puzzle","","LiMiT's Escape Room Games","6","PC (Microsoft Windows)","351601","Apr 17, 2022","",""
"","","","15","strategy","","","","","","","",""
